ID	Label	Notes	lSF	lFP	lRMF	lCMF	lPOB	lLOF	lPT	lPOP	lMOF	lRAC	lCAC	lINS	lPRC	lPOC	lSUPRA	lSP	lIP	lPARA	lPCG	lIST	lPREC	lCUN	lPERI	lLIN	lLO	lTRANS	lBKS	lST	lMT	lIT	lTP	lENT	lPHIP	lFUS	rSF	rFP	rCAC	rCMF	rPOB	rLOF	rPT	rPOP	rMOF	rRMF	rRAC	rINS	rPRC	rPOC	rSUPRA	rSP	rIP	rPARAC	rPCG	rIST	rPREC	rCUN	rPERI	rLIN	rLO	rTRANS	rBKS	rST	rMT	rIT	rTP	rENT	rPHIP	rFUS
1	1	notes1	0,430004673	0,65490383	0,304187736	0,526672847	0,85281584	0,928554755	0,083196041	0,012318823	0,734372681	0,348271043	0,606292349	0,04134972	0,90755139	0,418287062	0,164798412	0,238677167	0,564376357	0,621581624	0,552690679	0,39898694	0,922185468	0,123210407	0,972738377	0,705422029	0,991006784	0,239255779	0,960901899	0,13867758	0,929703138	0,059506122	0,218024127	0,71766126	0,159414109	0,950367434	0,98203433	0,895452166	0,524467301	0,140122128	0,50581299	0,922922282	0,077744753	0,618688798	0,516185997	0,325455259	0,405199789	0,873500439	0,016879662	0,042494036	0,481904053	0,06067574	0,390310724	0,472103546	0,411985434	0,071254265	0,874714724	0,67205479	0,242222479	0,783128554	0,064149758	0,762297017	0,389583097	0,259881136	0,998149623	0,047630966	0,210289823	0,406018539	0,509136199	0,158301343
2	2	notes2	0,311302515	0,361423993	0,966954502	0,527982109	0,426824269	0,492222793	0,514289292	0,778479861	0,660898885	0,500261814	0,506724641	0,154068395	0,695755215	0,640167267	0,539438828	0,233443841	0,131007475	0,569913903	0,402735447	0,995273087	0,658725524	0,28657694	0,49351451	0,302470542	0,673624642	0,133634749	0,136430106	0,753444175	0,974330551	0,969009945	0,096031804	0,275064226	0,759125808	0,351596312	0,749336798	0,379998684	0,057315139	0,00471376	0,870843097	0,93267171	0,034688312	0,865863859	0,543906941	0,396385246	0,627119629	0,232393856	0,904717989	0,708326649	0,119342015	0,48001685	0,275964941	0,351625301	0,310364117	0,081739608	0,037040193	0,261090523	0,3512718	0,519825012	0,429059667	0,923793809	0,354659735	0,184904686	0,862833578	0,105264085	0,624486106	0,762690675	0,078398039	0,412105831
3	3	notes3	0,913593185	0,236205653	0,191503886	0,039141851	0,16552517	0,160638728	0,624755397	0,751395175	0,967317069	0,439334227	0,399948317	0,976165761	0,3144815	0,718866303	0,094894166	0,346061438	0,413367551	0,965741451	0,244285002	0,03647536	0,694633257	0,416020826	0,028492548	0,365574368	0,787879059	0,917920493	0,267096762	0,460808061	0,955284145	0,409653586	0,748897827	0,627856292	0,548594909	0,083334717	0,0378147	0,962478358	0,122350413	0,149511826	0,023899358	0,877689503	0,773059254	0,990225037	0,918601099	0,123138652	0,490182029	0,688699432	0,477395841	0,539000119	0,788217677	0,268764773	0,620187927	0,250170413	0,914290116	0,561716186	0,084963357	0,067416836	0,28731954	0,602686846	0,177046421	0,284171027	0,515194384	0,45787448	0,677421568	0,224744385	0,639445181	0,505177671	0,11284927	0,066670244
4	4	notes4	0,081418586	0,121560596	0,554209089	0,390276516	0,518464631	0,45720062	0,896959121	0,322227241	0,576448477	0,729564881	0,181098451	0,654328798	0,411453451	0,314028784	0,61589356	0,908284698	0,521743731	0,11206997	0,60226392	0,723465242	0,035592803	0,893078433	0,482363899	0,273801406	0,172523217	0,215617843	0,845710319	0,975624688	0,098983949	0,951015662	0,736213507	0,341585448	0,781740077	0,585734389	0,042051123	0,951952653	0,408719651	0,465422175	0,739455142	0,617712283	0,785374202	0,334806559	0,549006818	0,477443333	0,847285357	0,503269126	0,485024967	0,318772739	0,83878614	0,463685846	0,317747344	0,268673674	0,906084708	0,870619915	0,023663201	0,719060267	0,67775511	0,693262302	0,881728126	0,573264287	0,297556836	0,454205061	0,941200124	0,932799898	0,084552376	0,215520439	0,673420713	0,942675051
5	5	notes5	0,468095052	0,017335138	0,198562166	0,220593523	0,468780057	0,914675663	0,926003685	0,012535901	0,806071577	0,745475743	0,407389848	0,3317641	0,074940219	0,043024194	0,454252443	0,442761282	0,685976979	0,373604179	0,858832235	0,469146469	0,920306976	0,773286621	0,996390129	0,956125277	0,391772429	0,307772522	0,165995951	0,770056053	0,30919615	0,497414862	0,737124428	0,984070173	0,901111752	0,968303519	0,803823925	0,737739961	0,871347145	0,325083996	0,921798084	0,298182306	0,771546778	0,914897897	0,91002136	0,92276544	0,096526076	0,965107771	0,234135411	0,155502085	0,390913464	0,495320324	0,230915134	0,3023948	0,56487164	0,197709577	0,59285535	0,381001004	0,261344514	0,919023587	0,891168022	0,419119797	0,075879381	0,409408289	0,5938505	0,408166108	0,772284473	0,913208214	0,49526738	0,212983493
6	6	notes6	0,620426011	0,195585348	0,497368458	0,882868233	0,727360136	0,314158957	0,750013856	0,173637697	0,488365876	0,563022757	0,023567344	0,95200917	0,139534159	0,836611407	0,274751208	0,62905976	0,892041054	0,055041515	0,729952346	0,542063432	0,042772484	0,718993656	0,710812069	0,525139309	0,170270517	0,461994959	0,975887072	0,6464844	0,986177904	0,419313236	0,730345856	0,282120208	0,086706686	0,228976501	0,405820092	0,847268233	0,409431276	0,254472833	0,079552719	0,676226717	0,539889081	0,504951219	0,275848075	0,968279762	0,316529316	0,70364757	0,363908364	0,835777482	0,472467817	0,408821694	0,765861401	0,42805577	0,931818346	0,474081979	0,524420911	0,268546073	0,034271557	0,871146438	0,83383092	0,037328438	0,117543237	0,09494896	0,308473343	0,802955173	0,392142771	0,280024142	0,149621578	0,569384505
7	7	notes7	0,007025431	0,272161142	0,763881733	0,03101947	0,105701528	0,37730755	0,370782113	0,475931987	0,313790814	0,231322179	0,579619443	0,401939168	0,68243188	0,984684973	0,995693585	0,027720385	0,036172901	0,860994334	0,948412972	0,108969124	0,744793724	0,153095459	0,351764176	0,075235951	0,736670927	0,856850573	0,276488461	0,978270967	0,133040805	0,499531175	0,63328539	0,303267194	0,013964776	0,561587675	0,835977013	0,577694973	0,013644473	0,435283968	0,026953721	0,328772679	0,082909915	0,679207343	0,811077985	0,687654503	0,220808288	0,702280541	0,120067139	0,287084899	0,009789786	0,452905299	0,405976596	0,04109594	0,447339683	0,502954003	0,347644776	0,902833742	0,934107121	0,684825881	0,518090091	0,510616922	0,208750123	0,296644548	0,395432514	0,801300469	0,414109155	0,171114424	0,881647896	0,591881906
8	8	notes8	0,471400764	0,520337369	0,741632927	0,817056636	0,8682483	0,350110906	0,773344508	0,477222326	0,949147466	0,166795091	0,602873239	0,111418791	0,828942225	0,982558172	0,804808919	0,504779628	0,05550683	0,833876997	0,348477526	0,298027102	0,414687631	0,261974669	0,064125935	0,736549815	0,204293089	0,118623937	0,275758468	0,668285331	0,376547009	0,86396255	0,419150046	0,658188801	0,970714436	0,796451459	0,871583322	0,393756776	0,25961934	0,151077913	0,409260902	0,211951395	0,01170346	0,651115065	0,353434914	0,479840025	0,351362561	0,543404994	0,728777144	0,753009306	0,816457643	0,774331788	0,798824401	0,666937004	0,150493101	0,489618803	0,518214923	0,859682046	0,6620265	0,247775764	0,178006408	0,015310921	0,875426843	0,166406502	0,679289926	0,409694349	0,908344266	0,593539122	0,808858869	0,648893715
9	9	notes9	0,534878506	0,826791336	0,79159841	0,96940123	0,385563815	0,111328732	0,152596762	0,161066888	0,856497955	0,629193592	0,632626106	0,446285311	0,446740717	0,159600916	0,934491073	0,212797803	0,390032034	0,024882558	0,995809075	0,049795202	0,869117758	0,473223294	0,299477175	0,775185372	0,946591302	0,246136772	0,971137743	0,49816045	0,05952144	0,213316426	0,70762494	0,113608671	0,04236408	0,146618153	0,335822631	0,212627925	0,965739849	0,964783118	0,208454142	0,745308298	0,919755101	0,859084678	0,094716544	0,652218191	0,541332145	0,724618155	0,83951881	0,315808748	0,36707936	0,738694892	0,067528962	0,881791242	0,430354166	0,036120796	0,513850372	0,015870483	0,713515395	0,054154274	0,915103463	0,33880208	0,824726876	0,061449792	0,450816711	0,97151473	0,478423433	0,682427636	0,491060011	0,595255136
10	10	notes10	0,638935156	0,155603483	0,173295886	0,138931561	0,918384694	0,185094231	0,899526988	0,611311502	0,889912936	0,837525283	0,635600692	0,547787376	0,731362082	0,236520341	0,319302173	0,212598692	0,343016368	0,818877951	0,014996191	0,72319648	0,404855903	0,219698279	0,156686945	0,426406153	0,773346592	0,95596788	0,937563555	0,227633015	0,860461779	0,685168177	0,139002987	0,063652712	0,509431892	0,656454443	0,898230322	0,557859457	0,422451191	0,68200886	0,188167119	0,459682421	0,50630538	0,020310672	0,434910762	0,147182242	0,277889511	0,819435021	0,472682015	0,991984434	0,305856944	0,26967799	0,926133443	0,481825301	0,296459977	0,14149733	0,164573169	0,583149024	0,770333002	0,192491602	0,426713379	0,102869706	0,740798405	0,625786517	0,91657873	0,239249755	0,574988426	0,141543086	0,997261714	0,474871267
